Strategy,Ann. Return (%),Ann. Vol (%),Sharpe Ratio,Max Drawdown (%),Avg Turnover,Total Return (%)
Our Model (GAT+GAN),-0.65,10.49,-0.062,-12.21,0.0161,-1.28
DCC-GARCH GMV,-2.31,9.69,-0.239,-13.46,0.0161,-4.52
Sample Cov GMV,-1.12,9.87,-0.113,-11.99,0.0055,-2.2
Equal Weight (1/N),-1.45,11.81,-0.122,-14.59,0.0,-2.84
