Date,Close,Volume
2010-01-04,1.8974326848983765,13812000
2010-01-05,1.9124915599822998,9495000
2010-01-06,1.927550196647644,8323320
2010-01-07,1.882373571395874,16976520
2010-01-08,1.852255940437317,29076720
2010-01-11,1.8974326848983765,24782880
2010-01-12,1.852255940437317,38584680
2010-01-13,1.852255940437317,17703840
2010-01-14,1.837196946144104,38664480
2010-01-15,1.8070783615112305,49203120
2010-01-18,1.8070783615112305,19053360
2010-01-19,1.8070783615112305,15887640
2010-01-20,1.8221371173858643,49174920
2010-01-21,1.7619013786315918,29100720
2010-01-22,1.7317835092544556,36344520
2010-01-25,1.7468427419662476,13385520
2010-01-26,1.7317835092544556,22767960
2010-01-27,1.7016657590866089,14895720
2010-01-28,1.6414300203323364,30803280
2010-01-29,1.6414300203323364,27135720
2010-02-01,1.6414300203323364,26348880
2010-02-02,1.6414300203323364,27275760
2010-02-03,1.7016657590866089,13206720
2010-02-04,1.7016657590866089,15385920
2010-02-05,1.6564888954162598,26376240
2010-02-08,1.7016657590866089,19163640
2010-02-09,1.7317835092544556,34170000
2010-02-10,1.7468427419662476,23015640
2010-02-11,1.7619013786315918,18151320
2010-02-12,1.7769606113433838,31181040
2010-02-15,1.7468427419662476,11268960
2010-02-16,1.7317835092544556,3183480
2010-02-17,1.7317835092544556,26263800
2010-02-18,1.7167248725891113,23079360
2010-02-19,1.7016657590866089,19518120
2010-02-22,1.7619013786315918,7912680
2010-02-23,1.7619013786315918,33830040
2010-02-24,1.7769606113433838,12558840
2010-02-25,1.7769606113433838,21348360
2010-02-26,1.7920197248458862,22548840
2010-03-02,1.852255940437317,31688040
2010-03-03,1.8673145771026611,22065360
2010-03-04,1.852255940437317,13735920
2010-03-05,1.837196946144104,12314520
2010-03-08,1.852255940437317,20502960
2010-03-09,1.852255940437317,9052080
2010-03-10,1.837196946144104,14581320
2010-03-11,1.8673145771026611,12092520
2010-03-12,1.8673145771026611,8960160
2010-03-15,1.852255940437317,9361680
2010-03-16,1.9124915599822998,32237160
2010-03-17,1.927550196647644,37421520
2010-03-18,1.8673145771026611,12665760
2010-03-19,1.9426095485687256,22341960
2010-03-22,1.9124915599822998,25168080
2010-03-23,1.927550196647644,37664640
2010-03-24,1.987786054611206,52738560
2010-03-25,1.9576679468154907,20676840
2010-03-26,1.9124915599822998,9156720
2010-03-29,1.8673145771026611,8751000
2010-03-30,1.9124915599822998,14659560
2010-03-31,1.8221371173858643,27991560
2010-04-01,1.837196946144104,32296920
2010-04-02,1.8070783615112305,43123680
2010-04-05,1.7769606113433838,30131640
2010-04-07,1.7769606113433838,34392000
2010-04-08,1.7167248725891113,45025320
2010-04-09,1.7317835092544556,30786840
2010-04-12,1.6263707876205444,93541800
2010-04-16,1.5209578275680542,61800120
2010-04-19,1.4878277778625488,41912760
2010-04-20,1.5661345720291138,112275240
2010-04-21,1.536016821861267,38584560
2010-04-22,1.5661345720291138,43428000
2010-04-23,1.5209578275680542,40585920
2010-04-26,1.536016821861267,36712800
2010-04-27,1.5510754585266113,19429560
2010-04-28,1.5209578275680542,58749960
2010-04-29,1.536016821861267,40339320
2010-04-30,1.5209578275680542,63735840
2010-05-04,1.6414300203323364,121234320
2010-05-06,1.6414300203323364,49637400
2010-05-07,1.5800673961639404,29465160
2010-05-10,1.6107486486434937,17291400
2010-05-11,1.5800673961639404,36713160
