Date,Close,Volume
2010-01-04,20.519582748413086,231800
2010-01-05,20.519582748413086,524400
2010-01-06,20.6920108795166,1105700
2010-01-07,21.036882400512695,245700
2010-01-08,20.6920108795166,293100
2010-01-11,20.86444854736328,167600
2010-01-12,20.6920108795166,204000
2010-01-13,20.86444854736328,661100
2010-01-14,20.86444854736328,457200
2010-01-15,22.243913650512695,2556800
2010-01-18,22.243913650512695,205800
2010-01-19,21.554182052612305,400100
2010-01-20,20.86444854736328,248200
2010-01-21,20.6920108795166,535300
2010-01-22,20.34714698791504,1267000
2010-01-25,20.34714698791504,212200
2010-01-26,20.002277374267578,233300
2010-01-27,19.82984733581543,209600
2010-01-28,19.65741539001465,710600
2010-01-29,19.65741539001465,166000
2010-02-01,19.65741539001465,314500
2010-02-02,20.174711227416992,369600
2010-02-03,20.174711227416992,609800
2010-02-04,20.002277374267578,124200
2010-02-05,19.82984733581543,255800
2010-02-08,19.65741539001465,475000
2010-02-09,19.65741539001465,107700
2010-02-10,20.002277374267578,26900
2010-02-11,20.002277374267578,510000
2010-02-12,20.002277374267578,156600
2010-02-15,19.65741539001465,29000
2010-02-16,20.002277374267578,49600
2010-02-17,19.82984733581543,81300
2010-02-18,19.65741539001465,233800
2010-02-19,19.65741539001465,84600
2010-02-22,20.34714698791504,361800
2010-02-23,20.34714698791504,183300
2010-02-24,20.519582748413086,599800
2010-02-25,20.6920108795166,463600
2010-02-26,21.381744384765625,1480200
2010-03-02,21.381744384765625,1507200
2010-03-03,21.036882400512695,353300
2010-03-04,20.86444854736328,622600
2010-03-05,21.036882400512695,537500
2010-03-08,21.209312438964844,72700
2010-03-09,20.86444854736328,281600
2010-03-10,20.86444854736328,219700
2010-03-11,21.179519653320312,512900
2010-03-12,21.529586791992188,200600
2010-03-15,21.529586791992188,152700
2010-03-16,21.704620361328125,222900
2010-03-17,22.054698944091797,401900
2010-03-18,21.704620361328125,256400
2010-03-19,22.754850387573242,478600
2010-03-22,22.754850387573242,302600
2010-03-23,22.40477180480957,306600
2010-03-24,22.229738235473633,216400
2010-03-25,22.229738235473633,178000
2010-03-26,21.704620361328125,101100
