Date,Close,Volume
2010-01-04,7.480058193206787,2751200
2010-01-05,7.664295673370361,12396600
2010-01-06,7.959079265594482,25468400
2010-01-07,7.959079265594482,14720600
2010-01-08,8.069620132446289,8724600
2010-01-11,8.032773971557617,3176400
2010-01-12,7.99592399597168,13501400
2010-01-13,7.959079265594482,4915000
2010-01-14,7.774840354919434,9502400
2010-01-15,7.701146125793457,14629200
2010-01-18,7.701146125793457,1485400
2010-01-19,7.664295673370361,5338000
2010-01-20,7.627450466156006,2521600
2010-01-21,7.516907215118408,5877600
2010-01-22,7.480058193206787,2875400
2010-01-25,7.443212509155273,1615600
2010-01-26,7.2958221435546875,4257400
2010-01-27,7.001041412353516,5891200
2010-01-28,6.927343845367432,3375000
2010-01-29,6.927343845367432,4071400
2010-02-01,7.001041412353516,1548400
2010-02-02,6.9641923904418945,2216600
2010-02-03,7.001041412353516,3484400
2010-02-04,6.9641923904418945,2033000
2010-02-05,6.779955863952637,2409400
2010-02-08,6.743107795715332,1992600
2010-02-09,6.853651523590088,1829200
2010-02-10,6.853651523590088,1752200
2010-02-11,6.890498161315918,1569000
2010-02-12,6.927343845367432,1629000
2010-02-15,6.927343845367432,507000
2010-02-16,6.853651523590088,1220000
2010-02-17,6.927343845367432,1915400
2010-02-18,6.890498161315918,1268400
2010-02-19,6.743107795715332,5447000
2010-02-22,6.853651523590088,2053000
2010-02-23,6.890498161315918,6843600
2010-02-24,6.853651523590088,3226800
2010-02-25,6.816802501678467,3484600
2010-02-26,6.9641923904418945,10428800
2010-03-02,7.074736595153809,5953800
2010-03-03,7.2958221435546875,18192000
2010-03-04,7.258974075317383,7431600
2010-03-05,7.037888526916504,5063400
2010-03-08,6.927343845367432,2336200
2010-03-09,6.9641923904418945,1861800
2010-03-10,6.927343845367432,2230800
2010-03-11,7.001041412353516,2632000
2010-03-12,7.074736595153809,2168800
2010-03-15,7.222126007080078,5992800
2010-03-16,7.480058193206787,11085800
2010-03-17,7.627450466156006,13292000
2010-03-18,7.590601921081543,7924800
2010-03-19,7.590601921081543,8726800
2010-03-22,7.664295673370361,15704800
2010-03-23,7.811686038970947,9094600
2010-03-24,7.811686038970947,5385400
2010-03-25,7.811686038970947,5302400
2010-03-26,7.701146125793457,4419600
2010-03-29,7.664295673370361,3693200
2010-03-30,7.848534107208252,3172400
2010-03-31,7.627450466156006,4799400
2010-04-01,7.664295673370361,3359800
2010-04-02,7.590601921081543,3117800
2010-04-05,7.553753852844238,6807000
2010-04-07,7.516907215118408,5401200
2010-04-08,7.369518280029297,9213400
2010-04-09,7.185277938842773,12515400
2010-04-12,7.001041412353516,9981800
2010-04-16,6.816802501678467,7563600
2010-04-19,6.632563591003418,10308800
2010-04-20,7.001041412353516,6643400
2010-04-21,6.853651523590088,6477400
2010-04-22,6.927343845367432,2874000
2010-04-23,6.853651523590088,2207800
2010-04-26,6.9641923904418945,2666000
2010-04-27,7.001041412353516,1931200
2010-04-28,6.927343845367432,1465600
2010-04-29,7.111583709716797,2594800
2010-04-30,7.258974075317383,2776600
2010-05-04,7.811686038970947,19318200
2010-05-06,7.774840354919434,7061400
2010-05-07,7.664295673370361,7888800
2010-05-10,7.770430564880371,2281000
2010-05-11,7.770430564880371,2849400
2010-05-12,7.656716346740723,3110800
2010-05-13,7.618811130523682,3008200
2010-05-14,7.770430564880371,3429600
2010-05-17,7.505098342895508,2431800
2010-05-18,7.580907344818115,1587400
2010-05-19,7.732525825500488,4970800
2010-05-20,7.732525825500488,0
2010-05-21,7.732525825500488,0
2010-05-24,7.050244331359863,20545200
2010-05-25,6.89862585067749,3673400
2010-05-26,7.239765644073486,2821800
2010-05-27,7.2018632888793945,4235000
2010-05-31,7.126052379608154,5179400
2010-06-01,6.936529636383057,10958400
2010-06-02,7.012339115142822,3684000
2010-06-03,7.050244331359863,6035200
2010-06-04,7.050244331359863,4303400
2010-06-07,7.08814811706543,3210400
2010-06-08,7.012339115142822,2489600
2010-06-09,7.126052379608154,3918600
2010-06-10,7.2018632888793945,6978200
2010-06-11,7.126052379608154,6122800
2010-06-14,7.2018632888793945,2706000
2010-06-15,7.126052379608154,2201000
2010-06-16,7.08814811706543,3728000
2010-06-17,7.163957595825195,2844800
2010-06-18,7.353477954864502,7031800
2010-06-21,7.543002605438232,6146400
2010-06-22,7.694620609283447,12113600
2010-06-23,7.770430564880371,6559800
2010-06-24,7.505098342895508,3355600
2010-06-25,7.580907344818115,5746200
2010-06-28,7.618811130523682,1364400
2010-06-29,7.618811130523682,4930000
2010-06-30,7.580907344818115,1616600
2010-07-02,7.543002605438232,1938000
